order_id,order_date,customer_name,gender,city,product_name,product_category,price,quantity,payment_mode,rating,revenue,platform,month
AMZ000091,2023-11-14,Dharmajan Garde,Male,Pune,Nemo Eius,Electronics,21941,4,UPI,1,87764,Amazon,11
AMZ000092,2023-07-08,Khushi Kohli,Male,Pune,Fugiat Numquam,Fashion,3662,4,Debit Card,4,14648,Amazon,7
AMZ000093,2023-07-16,Manikya Dhaliwal,Male,Pune,Sunt Voluptatem,Electronics,22586,1,UPI,2,22586,Amazon,7
AMZ000094,2023-01-29,Prerak Keer,Male,Mumbai,Aspernatur Hic,Home & Kitchen,35872,5,Debit Card,2,179360,Amazon,1
AMZ000095,2023-11-12,Manjari Sachdev,Female,Mumbai,Commodi Accusamus,Electronics,34389,3,Credit Card,1,103167,Amazon,11
AMZ000096,2023-07-31,Arnav Bhargava,Male,Delhi,Recusandae Incidunt,Sports,43799,2,UPI,5,87598,Amazon,7
AMZ000097,2023-11-04,Fateh Sanghvi,Female,Kolkata,A Vitae,Sports,20274,2,Debit Card,5,40548,Amazon,11
AMZ000098,2023-10-29,Anahi Bansal,Male,Chennai,Ipsa Repudiandae,Sports,27143,5,UPI,1,135715,Amazon,10
AMZ000099,2023-10-08,Sumer Guha,Female,Hyderabad,Quae Id,Beauty,30725,2,UPI,3,61450,Amazon,10
AMZ000100,2023-11-02,Chirag Raman,Male,Delhi,Deleniti Similique,Home & Kitchen,21771,1,Net Banking,4,21771,Amazon,11
AMZ000101,2023-02-25,Vedika Dhawan,Female,Delhi,Atque Tenetur,Sports,43726,2,UPI,5,87452,Amazon,2
AMZ000102,2023-04-27,Pihu Das,Male,Pune,Maxime Rerum,Home & Kitchen,5221,1,UPI,5,5221,Amazon,4
AMZ000103,2023-03-01,Priyansh Deshmukh,Male,Hyderabad,Fuga Facilis,Fashion,1339,4,Credit Card,3,5356,Amazon,3
AMZ000104,2023-12-02,Ranbir Balasubramanian,Male,Chennai,Officiis Optio,Fashion,21015,1,Net Banking,1,21015,Amazon,12
AMZ000105,2023-03-23,Himmat Salvi,Male,Pune,Voluptates Odio,Electronics,27104,3,Debit Card,3,81312,Amazon,3
AMZ000106,2023-09-22,Kiara Sawhney,Female,Delhi,Saepe Asperiores,Fashion,36620,4,UPI,5,146480,Amazon,9
AMZ000107,2023-01-19,Gatik Kamdar,Female,Kolkata,Fugit Dicta,Sports,39113,3,Net Banking,2,117339,Amazon,1
AMZ000108,2023-03-25,Samar Chakrabarti,Male,Mumbai,Aliquid Vero,Sports,41824,2,Net Banking,2,83648,Amazon,3
AMZ000109,2023-09-02,Heer Cherian,Female,Delhi,Ea Commodi,Electronics,14970,3,Net Banking,4,44910,Amazon,9
AMZ000110,2023-10-20,Taimur Suri,Female,Pune,Veritatis Distinctio,Beauty,36680,3,Debit Card,1,110040,Amazon,10
AMZ000111,2023-04-27,Zaina Venkataraman,Female,Bangalore,Ut Voluptatum,Beauty,13428,2,Net Banking,2,26856,Amazon,4
AMZ000112,2023-12-22,Taimur Grover,Male,Mumbai,Dolore Sed,Home & Kitchen,4856,5,Credit Card,5,24280,Amazon,12
AMZ000113,2023-01-13,Ela Sekhon,Female,Kolkata,Alias Nostrum,Beauty,16641,2,Credit Card,5,33282,Amazon,1
AMZ000114,2023-03-17,Shray Shere,Male,Mumbai,Aperiam Magnam,Fashion,2882,4,Credit Card,3,11528,Amazon,3
AMZ000115,2023-01-27,Madhav Dara,Male,Delhi,Distinctio Vel,Fashion,31768,5,Net Banking,4,158840,Amazon,1
AMZ000116,2023-01-27,Anaya Bath,Female,Mumbai,Laboriosam Totam,Beauty,29132,5,UPI,1,145660,Amazon,1
AMZ000117,2023-01-17,Kiara Dugar,Male,Chennai,Illo Earum,Fashion,5082,4,Cash on Delivery,3,20328,Amazon,1
AMZ000118,2023-05-23,Samarth Sarkar,Female,Chennai,Inventore Exercitationem,Beauty,22954,2,Cash on Delivery,4,45908,Amazon,5
AMZ000119,2023-01-28,Ivana Krishnan,Female,Delhi,In Tenetur,Electronics,29540,2,Credit Card,5,59080,Amazon,1
AMZ000120,2023-01-12,Madhav Goswami,Female,Mumbai,Cumque Sint,Home & Kitchen,32654,5,Credit Card,1,163270,Amazon,1
AMZ000121,2023-01-08,Raunak Chaudry,Female,Mumbai,Quas Adipisci,Books,11472,4,Cash on Delivery,3,45888,Amazon,1
AMZ000122,2023-08-11,Yuvaan Kade,Male,Chennai,Quod Nisi,Sports,13706,4,Debit Card,5,54824,Amazon,8
AMZ000123,2023-04-25,Aaryahi Kade,Female,Hyderabad,Voluptates Aperiam,Electronics,33319,3,UPI,5,99957,Amazon,4
AMZ000124,2023-09-04,Kavya Lad,Male,Chennai,Dolorem Animi,Home & Kitchen,45010,4,UPI,3,180040,Amazon,9
AMZ000125,2023-07-15,Tiya Virk,Male,Delhi,Ipsum Dolorem,Home & Kitchen,32045,3,Net Banking,3,96135,Amazon,7
AMZ000126,2023-04-20,Anaya Atwal,Male,Chennai,Possimus Voluptatum,Electronics,28143,2,UPI,4,56286,Amazon,4
AMZ000127,2023-09-06,Lavanya Khalsa,Male,Chennai,Minus Numquam,Electronics,35528,4,UPI,5,142112,Amazon,9
AMZ000128,2023-10-25,Armaan Chowdhury,Male,Hyderabad,Dignissimos Aspernatur,Electronics,15673,4,Cash on Delivery,2,62692,Amazon,10
AMZ000129,2023-03-03,Tanya Kaul,Female,Pune,Minus Voluptatem,Electronics,48640,2,UPI,2,97280,Amazon,3
AMZ000130,2023-04-15,Seher Tank,Male,Delhi,Temporibus Expedita,Sports,5100,2,Cash on Delivery,5,10200,Amazon,4
AMZ000131,2023-10-17,Shlok Bhavsar,Male,Delhi,Commodi Laborum,Fashion,5401,5,Net Banking,2,27005,Amazon,10
AMZ000132,2023-04-24,Jivin Gupta,Male,Mumbai,Facere Odio,Electronics,5487,4,Debit Card,5,21948,Amazon,4
AMZ000133,2023-02-14,Pranay Iyer,Female,Delhi,Mollitia Deserunt,Books,13560,3,Credit Card,4,40680,Amazon,2
AMZ000134,2023-03-26,Khushi Bhandari,Male,Pune,Expedita Aspernatur,Electronics,42788,2,Debit Card,2,85576,Amazon,3
AMZ000135,2023-08-29,Armaan Contractor,Male,Pune,A Doloremque,Home & Kitchen,28278,3,Debit Card,2,84834,Amazon,8
AMZ000136,2023-11-14,Advika Gopal,Male,Chennai,Dolorem Et,Sports,20475,3,Debit Card,3,61425,Amazon,11
AMZ000137,2023-01-05,Stuvan Banerjee,Female,Mumbai,Repellat Eligendi,Home & Kitchen,8350,1,UPI,1,8350,Amazon,1
AMZ000138,2023-08-09,Lavanya Ratta,Male,Chennai,Quaerat Ea,Beauty,21743,2,Cash on Delivery,1,43486,Amazon,8
AMZ000139,2023-07-11,Jayant De,Male,Chennai,Similique Nulla,Electronics,23593,4,UPI,1,94372,Amazon,7
AMZ000140,2023-04-02,Keya Banerjee,Female,Chennai,Perspiciatis Earum,Sports,34537,1,Credit Card,5,34537,Amazon,4
AMZ000141,2023-02-22,Hunar Chandran,Female,Hyderabad,Nulla Libero,Beauty,49853,1,UPI,2,49853,Amazon,2
AMZ000142,2023-05-28,Zaina Loyal,Female,Delhi,Nemo Id,Home & Kitchen,29062,4,Credit Card,1,116248,Amazon,5
AMZ000143,2023-06-28,Gokul Jani,Female,Delhi,Veniam Saepe,Sports,30619,5,Debit Card,4,153095,Amazon,6
AMZ000144,2023-12-16,Aarna Roy,Male,Hyderabad,Exercitationem Odit,Beauty,24029,2,Net Banking,2,48058,Amazon,12
AMZ000145,2023-10-11,Divij Chaudhry,Female,Chennai,Assumenda Quae,Books,22508,2,Credit Card,4,45016,Amazon,10
AMZ000146,2023-12-28,Anahi Chandran,Female,Mumbai,Nam Adipisci,Sports,37733,4,Net Banking,2,150932,Amazon,12
AMZ000147,2023-01-15,Lakshay Doshi,Female,Kolkata,Velit Fuga,Home & Kitchen,33237,5,UPI,5,166185,Amazon,1
AMZ000148,2023-10-06,Alisha Baria,Male,Chennai,Quas Ipsam,Books,4711,2,Debit Card,2,9422,Amazon,10
AMZ000149,2023-07-10,Elakshi Rajagopalan,Male,Pune,Reiciendis Veniam,Beauty,40743,3,Cash on Delivery,3,122229,Amazon,7
AMZ000150,2023-10-02,Jivika Buch,Female,Mumbai,Veniam Reiciendis,Beauty,34836,4,Debit Card,4,139344,Amazon,10
AMZ000151,2023-04-21,Devansh Bail,Male,Chennai,Iusto Minima,Home & Kitchen,22973,4,Net Banking,5,91892,Amazon,4
AMZ000152,2023-07-18,Jayan Bala,Male,Bangalore,Quae Culpa,Beauty,47683,2,Cash on Delivery,4,95366,Amazon,7
AMZ000153,2023-04-09,Rati Rana,Male,Pune,Soluta Dicta,Books,24186,2,Net Banking,3,48372,Amazon,4
AMZ000154,2023-06-14,Akarsh Date,Male,Chennai,Excepturi Aliquid,Home & Kitchen,31065,5,Credit Card,1,155325,Amazon,6
AMZ000155,2023-12-22,Elakshi Kapadia,Male,Mumbai,Accusamus Enim,Electronics,1516,1,Cash on Delivery,2,1516,Amazon,12
AMZ000156,2023-04-12,Yashvi Gole,Male,Kolkata,Molestiae Neque,Home & Kitchen,44093,4,Debit Card,1,176372,Amazon,4
AMZ000157,2023-09-22,Aarush Mane,Female,Delhi,Neque Modi,Electronics,15672,1,Net Banking,5,15672,Amazon,9
AMZ000158,2023-02-18,Anaya Shenoy,Male,Bangalore,Expedita Porro,Sports,32936,1,Cash on Delivery,5,32936,Amazon,2
AMZ000159,2023-09-19,Ivana Choudhary,Male,Bangalore,Voluptates Similique,Books,7894,5,Credit Card,5,39470,Amazon,9
AMZ000160,2023-01-09,Rania Kala,Female,Chennai,Laboriosam Aliquam,Books,34331,1,Debit Card,2,34331,Amazon,1
AMZ000161,2023-05-08,Ivan Yadav,Female,Hyderabad,Ex Possimus,Sports,23618,3,Net Banking,5,70854,Amazon,5
AMZ000162,2023-10-12,Pari Dubey,Male,Delhi,Quas Delectus,Sports,17368,5,Net Banking,5,86840,Amazon,10
AMZ000163,2023-10-15,Adira Ramachandran,Male,Bangalore,Occaecati Rerum,Fashion,46271,1,Debit Card,5,46271,Amazon,10
AMZ000164,2023-12-12,Pari Khosla,Female,Bangalore,Iusto Vitae,Fashion,35794,1,Debit Card,2,35794,Amazon,12
AMZ000165,2023-05-30,Parinaaz Sharaf,Female,Bangalore,Consequuntur Error,Books,16891,1,Debit Card,1,16891,Amazon,5
AMZ000166,2023-04-16,Dhruv Buch,Female,Mumbai,Voluptas Ea,Fashion,36694,1,Debit Card,1,36694,Amazon,4
AMZ000167,2023-09-20,Aayush Sant,Female,Pune,Doloremque Dolorum,Beauty,34134,2,Credit Card,2,68268,Amazon,9
AMZ000168,2023-04-28,Gokul Sanghvi,Female,Delhi,Officiis Dolore,Sports,3122,4,Debit Card,5,12488,Amazon,4
AMZ000169,2023-05-03,Eva Kohli,Male,Mumbai,Praesentium Adipisci,Home & Kitchen,18018,3,Net Banking,3,54054,Amazon,5
AMZ000170,2023-12-03,Shamik Verma,Male,Kolkata,Doloremque Sint,Fashion,29471,4,Net Banking,5,117884,Amazon,12
AMZ000171,2023-02-08,Dhanush Bobal,Male,Hyderabad,Itaque Facere,Electronics,2170,3,UPI,3,6510,Amazon,2
AMZ000172,2023-02-26,Divit Sarin,Male,Hyderabad,Optio Quod,Beauty,35819,5,Credit Card,5,179095,Amazon,2
AMZ000173,2023-10-04,Vaibhav Hayer,Female,Chennai,Adipisci Dignissimos,Electronics,35094,4,UPI,5,140376,Amazon,10
AMZ000174,2023-11-06,Abram Dara,Male,Chennai,Explicabo Tempora,Beauty,28908,3,Cash on Delivery,1,86724,Amazon,11
AMZ000175,2023-12-06,Ranbir Upadhyay,Male,Hyderabad,Explicabo Molestiae,Beauty,49197,2,Net Banking,4,98394,Amazon,12
AMZ000176,2023-09-21,Prerak Baral,Female,Delhi,Id Quibusdam,Books,41885,1,Credit Card,4,41885,Amazon,9
AMZ000177,2023-07-06,Hridaan Das,Male,Delhi,Magni Voluptatum,Books,11526,1,Credit Card,4,11526,Amazon,7
AMZ000178,2023-12-06,Aniruddh Kumer,Female,Bangalore,Corporis Incidunt,Sports,16669,3,Cash on Delivery,1,50007,Amazon,12
AMZ000179,2023-10-16,Alisha Deo,Female,Delhi,Beatae Atque,Sports,49378,3,Cash on Delivery,5,148134,Amazon,10
AMZ000180,2023-09-18,Darshit Banerjee,Female,Kolkata,Voluptatem Fugit,Books,44672,1,Debit Card,4,44672,Amazon,9
AMZ000181,2023-06-23,Nirvi Deep,Male,Delhi,Dicta Exercitationem,Home & Kitchen,34927,3,Cash on Delivery,2,104781,Amazon,6
AMZ000182,2023-12-09,Ishaan Kohli,Male,Hyderabad,Consectetur Impedit,Fashion,32642,1,UPI,2,32642,Amazon,12
AMZ000183,2023-09-24,Elakshi Lalla,Female,Bangalore,Ut Excepturi,Sports,41361,2,Debit Card,5,82722,Amazon,9
AMZ000184,2023-02-06,Ela Buch,Female,Bangalore,Eius Dolorum,Electronics,4445,5,Net Banking,3,22225,Amazon,2
AMZ000185,2023-09-22,Riaan Chaudhary,Female,Mumbai,Qui Veniam,Electronics,16117,2,Net Banking,3,32234,Amazon,9
AMZ000186,2023-08-29,Aayush Kapadia,Female,Hyderabad,Sunt Deserunt,Books,30126,5,Debit Card,3,150630,Amazon,8
AMZ000187,2023-07-10,Stuvan Jhaveri,Female,Hyderabad,Dolore Sed,Electronics,387,2,Cash on Delivery,5,774,Amazon,7
AMZ000188,2023-05-23,Anya Acharya,Female,Pune,Quibusdam Sequi,Home & Kitchen,9737,1,Credit Card,1,9737,Amazon,5
AMZ000189,2023-11-30,Saira Goyal,Male,Pune,Consequatur Doloribus,Books,8372,1,UPI,3,8372,Amazon,11
AMZ000190,2023-04-23,Prisha Chahal,Female,Hyderabad,Suscipit Sit,Beauty,11276,4,Cash on Delivery,4,45104,Amazon,4
AMZ000191,2023-03-05,Neysa Devan,Male,Pune,Nisi Ipsum,Electronics,31664,3,Cash on Delivery,1,94992,Amazon,3
AMZ000192,2023-02-05,Jhanvi Dayal,Male,Delhi,Tempora Magni,Electronics,6220,5,Debit Card,3,31100,Amazon,2
AMZ000193,2023-10-28,Nayantara Johal,Female,Bangalore,Non Nobis,Fashion,14198,3,Debit Card,4,42594,Amazon,10
AMZ000194,2023-07-22,Saanvi Khalsa,Female,Delhi,Tenetur Laudantium,Electronics,42324,5,Credit Card,5,211620,Amazon,7
AMZ000195,2023-05-29,Drishya Rattan,Female,Delhi,Blanditiis Ex,Electronics,7935,5,Debit Card,3,39675,Amazon,5
AMZ000196,2023-05-10,Yakshit Seth,Male,Delhi,Placeat Ad,Books,37213,4,Credit Card,3,148852,Amazon,5
AMZ000197,2023-05-16,Gatik Lalla,Female,Pune,Non Cupiditate,Books,36975,4,UPI,1,147900,Amazon,5
AMZ000198,2023-06-13,Ayesha Behl,Male,Hyderabad,Neque Beatae,Home & Kitchen,42826,5,UPI,5,214130,Amazon,6
AMZ000199,2023-06-19,Badal Dutt,Male,Mumbai,Repellendus Officia,Fashion,49241,3,Net Banking,2,147723,Amazon,6
AMZ000200,2023-03-12,Anahi Chaudhry,Female,Bangalore,Adipisci Atque,Beauty,36860,5,Cash on Delivery,4,184300,Amazon,3
